Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2021-07-06,377.88134765625,380.28776065144547,376.22339152456243,378.8098134984808,2113100
2021-07-07,383.39520263671875,384.7594658516354,378.2034504861623,378.2034504861623,2308600
2021-07-08,385.73529052734375,387.14694126113335,381.95516019373207,382.2772738819072,2235500
2021-07-09,390.6807556152344,392.22502786300726,386.1521682857782,387.0616675012764,2304200
2021-07-12,386.4268493652344,392.55654966232015,383.2530426366898,392.262856962398,2491300
2021-07-13,385.6500244140625,387.7627443975516,383.4141662754452,383.4141662754452,1540300
2021-07-14,388.38800048828125,388.88063980352024,385.8394832583348,387.090033660473,1265800
2021-07-15,390.1596984863281,390.519716425876,386.42692655384593,388.8712147507073,1894100
2021-07-16,388.7858581542969,391.6754553479554,388.21741043485156,390.4438138037486,1413900
2021-07-19,392.3670654296875,393.47553999667787,388.4827061714755,388.4921894563284,2293100
2021-07-20,394.3471984863281,396.08096297194527,391.1355158602432,392.22502403339985,2045400
2021-07-21,393.181884765625,395.1714087274856,390.53862124814,395.1714087274856,1480000
2021-07-22,395.57879638671875,396.5830416083028,391.798637421555,394.11978715608615,1339200
2021-07-23,401.1590881347656,401.6896318228581,395.11464871064544,396.2894488021038,1344500
2021-07-26,400.96954345703125,402.1727353427407,398.2410170930238,401.13058584086883,1220000
2021-07-27,402.0212097167969,402.2296396495148,399.42533330132335,401.6990959866802,1666500
2021-07-28,400.0126953125,402.51382544540263,398.421064417702,401.00745739363384,1362700
2021-07-29,403.6670227050781,404.2080619266449,398.99704721188965,400.24997099867886,1434200
2021-07-30,407.8812561035156,409.5707937929411,404.29336015780774,404.33133543359486,2283900
2021-08-02,407.1219787597656,408.82098877005853,403.85679980555557,408.73556611311517,1366900
2021-08-03,412.95947265625,414.6015344165501,407.3118438564031,408.07120472724466,1448100
2021-08-04,412.9310302734375,415.731092231849,410.8903002777612,413.84223442205126,1280500
2021-08-05,420.66680908203125,420.9610523706399,414.5351184366309,415.50327097011865,1742600
2021-08-06,417.2876892089844,420.9230330860889,416.59477791039535,420.23015075415253,1789800
2021-08-09,418.0850524902344,420.2776545922174,416.98400090756627,418.255897830651,1472500
2021-08-10,420.514892578125,421.2457501910693,418.26534233353476,418.26534233353476,1893700
2021-08-11,421.72039794921875,425.23237333350187,419.34744943731306,422.8594248215961,2267500
2021-08-12,422.7264709472656,423.9319471735494,419.7745372854978,420.48642174669425,1230700
2021-08-13,425.0615234375,425.5740594545863,421.9482161819095,423.12518936187166,1309300
2021-08-16,429.84527587890625,430.1585212342417,424.33054707925146,425.1468562487269,1515600
2021-08-17,429.3517761230469,430.7185966802488,426.8459577459462,429.8453389483375,1936700
2021-08-18,423.53326416015625,432.10435161134984,423.239020910594,428.041865588377,2030100
2021-08-19,431.1741638183594,432.3511367874865,418.88228127363533,420.43894910590774,1953700
2021-08-20,435.6637878417969,437.2109547006735,430.60467503187823,432.3416603664947,1911200
2021-08-23,431.8101501464844,435.7302654549159,431.4874326469186,434.0312263258404,1835900
2021-08-24,428.8297424316406,432.246793851381,427.4154455167182,432.11389483969305,1541700
2021-08-25,428.2982177734375,429.8074094965152,424.5869229588295,427.9185228519177,1520600
2021-08-26,426.47576904296875,429.48468031094745,423.99842485733586,428.29820613009156,1418600
2021-08-27,427.453369140625,428.6683173911815,424.0932665700816,426.4757156965573,1310200
2021-08-30,432.75933837890625,433.3858002321084,427.54835296513403,428.1178663741046,1219800
2021-08-31,432.3416748046875,433.66104795007607,429.44668949476346,432.9586645297419,1699000
2021-09-01,433.31939697265625,433.4712691623679,428.8867451124966,432.33227118951794,1325400
2021-09-02,437.543212890625,437.98932835068615,435.09434287510464,436.07199646204856,1455000
2021-09-03,439.04290771484375,440.0395634372144,435.6733325248973,435.6733325248973,1302400
2021-09-07,436.242919921875,439.65997203997375,434.3730350799335,438.99553477904936,1463400
2021-09-08,442.0328369140625,442.1562058981396,434.80006590181716,435.7777194781461,1372000
2021-09-09,442.2606201171875,445.8959642121683,441.59618299835444,443.58946538819924,1398700
2021-09-10,441.520263671875,444.59559545301124,439.6598802828738,443.42812340769706,1324800
2021-09-13,436.2998046875,444.4437511607125,434.91401087985724,443.3237264253116,1679500
2021-09-14,435.1133117675781,438.7107096350643,434.1736334750992,437.52423544086156,1383900
2021-09-15,437.3154602050781,438.75820254694895,432.9587299878581,434.9519836676383,1770300
2021-09-16,439.7643127441406,440.2009271646724,433.3668527520383,437.3723910447173,1577500
2021-09-17,436.1573486328125,439.2991295047323,433.7938726994667,438.16010286456685,3411400
2021-09-20,428.2127685546875,437.5242152844876,423.9224595274421,433.4237537062305,2602000
2021-09-21,429.13348388671875,433.62311286893873,427.2826014399185,428.21280767830365,1531300
2021-09-22,429.3423156738281,432.2088560700393,426.97886817981373,431.59189523840126,1380800
2021-09-23,429.76947021484375,432.39868686336223,428.1748556908324,429.31385365084424,2061200
2021-09-24,443.9786376953125,444.8993428167033,431.87660107186997,432.8068072560205,3353800
2021-09-27,437.15399169921875,446.5793346703254,434.0027096470509,441.8903868726177,2526000
2021-09-28,424.6153259277344,434.2494891281769,423.02071180489924,433.907798516134,2632700
2021-09-29,428.8297424316406,432.82577934519503,426.08660023311216,427.00730535222755,1922000
2021-09-30,426.5137023925781,432.21824999593684,426.4662260500189,430.56668736789663,1836400
2021-10-01,425.5455627441406,428.1558059413303,418.36029712144347,426.87443699967014,1860700
2021-10-04,417.7718200683594,426.51375391883045,414.00357682655476,425.5550734898106,2264000
2021-10-05,423.56182861328125,426.2859690008531,416.9270735253165,417.2402899985717,1808700
2021-10-06,426.5042419433594,426.9218831710592,419.89796183548276,421.36917822852445,1334600
2021-10-07,429.85491943359375,436.2334068901794,429.0955874133625,433.2719714579539,1966200
2021-10-08,428.88665771484375,432.58845106391425,427.13067027704096,432.29420780838893,1545800
2021-10-11,426.8459167480469,430.6331326545999,426.69404459331656,427.16863421435437,1011700
2021-10-12,424.1596984863281,429.8358004502577,423.09662243198744,427.27300505974716,1380900
2021-10-13,422.66961669921875,427.61486271436337,421.50214446134436,425.7449779542526,1621500
2021-10-14,427.7571105957031,428.7442650947835,423.8085215660327,424.3875069860162,1480400
2021-10-15,429.3992919921875,430.8705085074648,426.3524051960474,430.8230611230973,1494800
2021-10-18,438.47344970703125,438.8531156860737,425.7069747742941,426.76055003863627,2141300
2021-10-19,443.3426818847656,443.4186324547489,436.91674805771794,439.4700428486201,1365300
2021-10-20,445.8959655761719,448.4872355875623,444.06405641243566,444.7094914079508,1352900
2021-10-21,452.976806640625,453.3754456891061,445.24097287464895,445.89590884951866,1423300
2021-10-22,457.49493408203125,460.380447343814,454.2487570083481,454.6473961039527,1710300
2021-10-25,465.1927185058594,467.1954726570062,455.1314134781838,457.4948603497541,1903400
2021-10-26,460.8550109863281,463.4367797660154,456.77355170152197,457.6278072533823,2378600
2021-10-27,464.2530517578125,466.521604082471,458.98511847640066,459.2603885711608,1741800
2021-10-28,466.3542785644531,467.5901965936078,462.50389400064466,462.96021868167537,1362400
2021-10-29,467.314453125,469.81483818453125,462.6749593433856,462.7890404997337,2471600
2021-11-01,467.62811279296875,470.49929023419463,463.1882906514871,469.7957415097374,1548700
2021-11-02,472.495849609375,474.87263716492794,468.43630690935777,470.35674080937736,2012200
2021-11-03,477.5726013183594,478.1715563454743,471.31691006369306,476.63140285490226,1856000
2021-11-04,490.2076416015625,494.57144878711546,481.0712847891306,482.02199974635437,2615000
2021-11-05,487.83074951171875,492.3751938849105,483.5620495542454,489.3994520652821,2071700
2021-11-08,478.97967529296875,488.1065151954222,475.5476084029053,488.1065151954222,2834800
2021-11-09,483.63818359375,484.00897634269074,479.2173649749037,480.2251204789498,1881800
2021-11-10,480.59588623046875,485.20683016805856,478.94162261710915,483.2103521393566,1226600
2021-11-11,486.9371643066406,487.2414000464991,479.1983598885407,481.25190761230994,1227300
2021-11-12,491.68121337890625,494.04848421865995,487.93539431530644,488.905142091411,1780200
