Ticker,Nombre,Mkt Cap ($B),P/E Ratio,ROE (%),Net Margin (%),Div Yield (%),EV/EBITDA,Price / Revenue,ROA (%),Current Ratio,Debt/Equity
WMT,Walmart Inc.,890.031505408,39.380283,24.132,3.1350000000000002,89.0,21.444,1.2271135,6.834999999999999,0.771,74.816
TGT,Target Corporation,59.140227072,17.200792,22.015,3.243,356.0,8.974,0.5559494,5.6750003,0.932,117.548
BJ,"BJ's Wholesale Club Holdings, I",11.387749376,20.50115,27.884999999999998,2.6010001000000003,0.0,12.711,0.51844287,6.822,0.727,134.579
KR,Kroger Company (The),35.668324352,34.046783,13.779001,0.7080000000000001,247.00000000000003,8.385,0.23995642,5.771,0.791,373.449
AMZN,"Amazon.com, Inc.",2610.427854848,31.638851,24.285,12.224,0.0,17.342,3.5144215,6.845,1.177,53.3
HD,"Home Depot, Inc. (The)",356.868063232,25.4371,128.38,8.411,260.0,16.796,2.142168,12.519,1.045,459.356
LOW,"Lowe's Companies, Inc.",127.560859648,19.23077,0.0,7.510000499999999,220.00000000000003,13.442,1.4424413,12.792,1.093,0.0
SFM,"Sprouts Farmers Market, Inc.",8.45834496,17.262957,37.275999999999996,5.701000199999999,0.0,12.218,0.9504931,10.539,0.922,143.69
DLTR,"Dollar Tree, Inc.",23.839258624,19.911718,33.976,6.514,0.0,12.649,1.2071794,6.738999499999999,1.161,216.518
DG,Dollar General Corporation,26.066722816,16.714285,18.91,3.6319999999999997,200.0,11.959,0.60514235,4.632,1.169,178.649
COST,Costco Wholesale Corporation,422.045483008,47.846657,29.152,3.01,62.0,30.483,1.4375483,8.666000499999999,1.072,60.257
PSMT,"PriceSmart, Inc.",6.114294272,39.033527,12.447999999999999,2.822,71.0,17.276,1.1063551,6.952999999999999,1.294,23.638
